@relation 'Telco_Cusomer_Churn-weka.filters.unsupervised.attribute.Remove-R1-2,7-8-weka.filters.unsupervised.attribute.Remove-R1-3,5,7-8,10-11,13,15-16'

@attribute tenure numeric
@attribute OnlineSecurity {No,Yes,'No internet service'}
@attribute TechSupport {No,Yes,'No internet service'}
@attribute Contract {Month-to-month,'One year','Two year'}
@attribute PaymentMethod {'Electronic check','Mailed check','Bank transfer (automatic)','Credit card (automatic)'}
@attribute Churn {No,Yes}

@data
61,Yes,No,'Two year','Mailed check',No
26,No,No,'One year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Electronic check',Yes
68,Yes,No,'Two year','Credit card (automatic)',No
2,No,No,Month-to-month,'Mailed check',Yes
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
71,No,Yes,'Two year','Electronic check',No
57,'No internet service','No internet service','Two year','Credit card (automatic)',No
4,'No internet service','No internet service',Month-to-month,'Mailed check',No
1,No,No,Month-to-month,'Electronic check',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
21,Yes,No,'One year','Bank transfer (automatic)',No
71,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
29,No,No,Month-to-month,'Bank transfer (automatic)',Yes
69,Yes,Yes,'Two year','Credit card (automatic)',No
64,Yes,Yes,'Two year','Credit card (automatic)',No
16,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
4,'No internet service','No internet service','One year','Electronic check',No
52,Yes,Yes,'One year','Credit card (automatic)',Yes
2,Yes,No,Month-to-month,'Mailed check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
18,No,No,Month-to-month,'Mailed check',No
2,No,No,Month-to-month,'Mailed check',No
19,No,No,Month-to-month,'Mailed check',No
40,No,No,Month-to-month,'Bank transfer (automatic)',No
66,No,No,'One year','Electronic check',No
21,No,No,Month-to-month,'Mailed check',No
8,No,Yes,Month-to-month,'Electronic check',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
48,No,Yes,'One year','Bank transfer (automatic)',No
69,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
72,Yes,Yes,'Two year','Electronic check',No
14,No,No,'One year','Credit card (automatic)',No
6,No,No,Month-to-month,'Electronic check',No
8,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
17,'No internet service','No internet service','One year','Mailed check',No
65,Yes,Yes,'One year','Electronic check',No
57,Yes,Yes,'One year','Mailed check',No
13,No,No,Month-to-month,'Credit card (automatic)',Yes
19,No,No,Month-to-month,'Credit card (automatic)',Yes
56,Yes,No,'One year','Bank transfer (automatic)',No
14,No,No,Month-to-month,'Electronic check',No
52,Yes,No,Month-to-month,'Electronic check',No
58,Yes,Yes,'Two year','Credit card (automatic)',No
47,No,Yes,Month-to-month,'Electronic check',Yes
67,No,Yes,Month-to-month,'Credit card (automatic)',No
2,No,No,Month-to-month,'Credit card (automatic)',No
6,No,No,Month-to-month,'Credit card (automatic)',No
71,Yes,Yes,'Two year','Bank transfer (automatic)',No
46,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
5,Yes,Yes,Month-to-month,'Credit card (automatic)',Yes
67,Yes,No,Month-to-month,'Bank transfer (automatic)',No
3,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
3,'No internet service','No internet service',Month-to-month,'Mailed check',No
52,Yes,No,Month-to-month,'Electronic check',Yes
42,No,No,Month-to-month,'Electronic check',Yes
50,'No internet service','No internet service','One year','Mailed check',No
23,Yes,No,Month-to-month,'Electronic check',No
67,Yes,Yes,'Two year','Credit card (automatic)',No
25,No,No,Month-to-month,'Electronic check',Yes
39,Yes,No,'One year','Mailed check',No
69,Yes,Yes,'Two year','Mailed check',No
1,No,No,'One year','Mailed check',No
32,No,No,Month-to-month,'Electronic check',No
9,No,No,Month-to-month,'Electronic check',Yes
16,No,No,Month-to-month,'Credit card (automatic)',Yes
60,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
72,No,Yes,'Two year','Bank transfer (automatic)',No
5,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
26,Yes,No,Month-to-month,'Credit card (automatic)',No
3,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
2,'No internet service','No internet service',Month-to-month,'Electronic check',No
2,'No internet service','No internet service','One year','Bank transfer (automatic)',No
36,Yes,Yes,'One year','Credit card (automatic)',No
7,Yes,No,Month-to-month,'Mailed check',No
60,No,No,'Two year','Credit card (automatic)',No
19,No,No,Month-to-month,'Electronic check',No
45,Yes,Yes,'Two year','Credit card (automatic)',No
4,No,No,Month-to-month,'Electronic check',No
31,No,Yes,Month-to-month,'Electronic check',Yes
47,Yes,No,Month-to-month,'Electronic check',No
1,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Bank transfer (automatic)',Yes
1,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
59,No,No,Month-to-month,'Credit card (automatic)',No
10,No,No,Month-to-month,'Electronic check',Yes
35,Yes,No,Month-to-month,'Credit card (automatic)',No
4,No,No,Month-to-month,'Electronic check',Yes
32,Yes,No,'One year','Electronic check',No
43,No,No,Month-to-month,'Electronic check',Yes
4,No,No,Month-to-month,'Electronic check',Yes
54,'No internet service','No internet service','Two year','Mailed check',No
11,No,No,Month-to-month,'Bank transfer (automatic)',Yes
66,Yes,No,'Two year','Bank transfer (automatic)',No
61,No,No,'One year','Electronic check',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
44,No,Yes,'One year','Electronic check',No
41,No,No,Month-to-month,'Bank transfer (automatic)',No
50,Yes,No,'One year','Electronic check',No
47,Yes,Yes,'One year','Credit card (automatic)',Yes
8,'No internet service','No internet service','Two year','Mailed check',No
18,'No internet service','No internet service',Month-to-month,'Mailed check',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
42,No,No,Month-to-month,'Electronic check',No
18,No,No,Month-to-month,'Electronic check',No
13,No,No,'One year','Credit card (automatic)',No
68,No,Yes,'One year','Bank transfer (automatic)',No
4,No,No,Month-to-month,'Bank transfer (automatic)',Yes
69,Yes,No,'Two year','Credit card (automatic)',No
17,No,Yes,Month-to-month,'Mailed check',Yes
25,'No internet service','No internet service','Two year','Credit card (automatic)',No
43,No,No,Month-to-month,'Mailed check',Yes
59,'No internet service','No internet service','Two year','Credit card (automatic)',No
5,Yes,No,Month-to-month,'Electronic check',No
21,Yes,Yes,'One year','Mailed check',Yes
69,Yes,Yes,'One year','Credit card (automatic)',No
13,No,No,Month-to-month,'Bank transfer (automatic)',No
42,No,No,Month-to-month,'Bank transfer (automatic)',Yes
52,No,Yes,Month-to-month,'Credit card (automatic)',No
46,Yes,No,Month-to-month,'Electronic check',Yes
61,Yes,Yes,'Two year','Bank transfer (automatic)',No
29,No,No,'One year','Mailed check',No
25,No,Yes,'One year','Credit card (automatic)',No
5,No,Yes,Month-to-month,'Electronic check',Yes
15,No,No,'One year','Electronic check',No
19,'No internet service','No internet service','Two year','Mailed check',No
44,'No internet service','No internet service','Two year','Mailed check',No
6,No,No,Month-to-month,'Electronic check',Yes
58,Yes,Yes,'Two year','Credit card (automatic)',No
62,Yes,No,'One year','Credit card (automatic)',No
70,No,Yes,'One year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Mailed check',Yes
10,Yes,Yes,'Two year','Credit card (automatic)',No
26,'No internet service','No internet service','One year','Bank transfer (automatic)',No
66,No,No,Month-to-month,'Credit card (automatic)',No
7,No,No,Month-to-month,'Electronic check',Yes
51,No,Yes,'One year','Bank transfer (automatic)',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
65,'No internet service','No internet service','Two year','Mailed check',No
2,No,No,Month-to-month,'Bank transfer (automatic)',Yes
70,Yes,Yes,'One year','Bank transfer (automatic)',No
72,No,Yes,'Two year','Credit card (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
1,No,No,Month-to-month,'Mailed check',Yes
5,No,No,Month-to-month,'Electronic check',Yes
3,'No internet service','No internet service',Month-to-month,'Mailed check',No
58,'No internet service','No internet service','Two year','Credit card (automatic)',No
22,Yes,No,Month-to-month,'Mailed check',Yes
33,No,No,Month-to-month,'Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
54,No,No,Month-to-month,'Bank transfer (automatic)',No
72,No,No,'Two year','Electronic check',No
1,No,No,Month-to-month,'Electronic check',Yes
3,No,No,Month-to-month,'Electronic check',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
72,Yes,No,'Two year','Credit card (automatic)',No
54,No,No,Month-to-month,'Credit card (automatic)',No
59,No,Yes,'One year','Electronic check',No
54,Yes,No,'Two year','Bank transfer (automatic)',No
60,No,No,'Two year','Electronic check',No
60,No,Yes,'Two year','Credit card (automatic)',No
3,No,No,Month-to-month,'Electronic check',No
69,Yes,No,'Two year','Bank transfer (automatic)',No
1,'No internet service','No internet service',Month-to-month,'Electronic check',No
50,Yes,No,Month-to-month,'Credit card (automatic)',No
56,No,No,Month-to-month,'Credit card (automatic)',No
60,Yes,Yes,'Two year','Electronic check',No
69,Yes,Yes,'One year','Mailed check',No
1,No,No,Month-to-month,'Mailed check',Yes
1,No,No,Month-to-month,'Electronic check',Yes
3,'No internet service','No internet service',Month-to-month,'Mailed check',No
60,No,Yes,'Two year','Bank transfer (automatic)',No
13,No,Yes,'Two year','Mailed check',No
62,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
45,Yes,No,'One year','Bank transfer (automatic)',No
25,No,Yes,'One year','Electronic check',No
44,No,Yes,'Two year','Bank transfer (automatic)',No
2,No,No,Month-to-month,'Mailed check',No
33,No,No,Month-to-month,'Credit card (automatic)',Yes
1,No,No,Month-to-month,'Electronic check',Yes
22,'No internet service','No internet service','One year','Bank transfer (automatic)',No
35,No,Yes,Month-to-month,'Mailed check',No
29,'No internet service','No internet service','Two year','Mailed check',No
27,Yes,No,'One year','Electronic check',No
54,No,Yes,'One year','Electronic check',No
2,No,No,Month-to-month,'Electronic check',Yes
57,No,No,'One year','Electronic check',No
62,Yes,Yes,'Two year','Bank transfer (automatic)',No
15,'No internet service','No internet service','One year','Credit card (automatic)',No
2,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
70,No,Yes,'Two year','Bank transfer (automatic)',No
21,No,No,Month-to-month,'Electronic check',No
23,No,Yes,'One year','Electronic check',No
6,'No internet service','No internet service','One year','Mailed check',No
4,'No internet service','No internet service','Two year','Credit card (automatic)',No
3,Yes,No,Month-to-month,'Credit card (automatic)',Yes
23,No,No,Month-to-month,'Electronic check',No
26,Yes,Yes,'One year','Credit card (automatic)',No
8,'No internet service','No internet service',Month-to-month,'Mailed check',No
26,No,No,Month-to-month,'Electronic check',Yes
2,No,No,Month-to-month,'Electronic check',No
67,Yes,Yes,'Two year','Credit card (automatic)',Yes
71,No,No,'Two year','Bank transfer (automatic)',Yes
59,Yes,Yes,'One year','Credit card (automatic)',No
39,No,No,'One year','Electronic check',No
21,'No internet service','No internet service','Two year','Mailed check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
48,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
31,Yes,No,'One year','Credit card (automatic)',No
64,Yes,Yes,'One year','Electronic check',No
46,No,No,Month-to-month,'Bank transfer (automatic)',No
52,No,Yes,'Two year','Bank transfer (automatic)',No
67,'No internet service','No internet service','Two year','Mailed check',No
67,No,No,Month-to-month,'Electronic check',No
5,No,No,Month-to-month,'Electronic check',Yes
71,No,Yes,'Two year','Electronic check',No
9,No,No,Month-to-month,'Bank transfer (automatic)',Yes
26,Yes,No,Month-to-month,'Electronic check',Yes
71,Yes,Yes,'One year','Bank transfer (automatic)',No
32,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
2,No,No,Month-to-month,'Electronic check',No
71,'No internet service','No internet service','Two year','Credit card (automatic)',No
60,Yes,No,'One year','Electronic check',No
55,No,No,'One year','Electronic check',No
54,Yes,Yes,'One year','Credit card (automatic)',Yes
2,No,No,Month-to-month,'Electronic check',Yes
6,No,No,Month-to-month,'Mailed check',No
48,Yes,No,'Two year','Credit card (automatic)',No
63,'No internet service','No internet service','Two year','Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
12,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
54,No,No,Month-to-month,'Bank transfer (automatic)',No
30,No,Yes,'One year','Electronic check',No
30,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',Yes
4,No,No,Month-to-month,'Electronic check',Yes
40,No,Yes,'One year','Credit card (automatic)',No
9,No,Yes,Month-to-month,'Electronic check',No
17,Yes,Yes,Month-to-month,'Electronic check',Yes
62,No,No,'Two year','Credit card (automatic)',No
28,No,Yes,'One year','Bank transfer (automatic)',No
70,Yes,Yes,'Two year','Credit card (automatic)',No
46,No,Yes,'Two year','Bank transfer (automatic)',No
23,No,No,Month-to-month,'Mailed check',No
47,Yes,Yes,'One year','Electronic check',No
68,Yes,No,'Two year','Bank transfer (automatic)',No
60,No,Yes,'One year','Electronic check',Yes
67,No,Yes,'Two year','Electronic check',No
14,No,Yes,Month-to-month,'Electronic check',No
57,No,No,Month-to-month,'Electronic check',No
55,Yes,No,'One year','Mailed check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
1,No,Yes,Month-to-month,'Mailed check',Yes
23,No,Yes,Month-to-month,'Credit card (automatic)',No
13,Yes,No,Month-to-month,'Electronic check',Yes
47,No,No,Month-to-month,'Electronic check',No
38,'No internet service','No internet service','One year','Mailed check',No
38,No,No,Month-to-month,'Bank transfer (automatic)',Yes
2,No,No,Month-to-month,'Credit card (automatic)',No
1,No,Yes,Month-to-month,'Credit card (automatic)',Yes
15,No,No,Month-to-month,'Bank transfer (automatic)',No
26,No,No,Month-to-month,'Credit card (automatic)',No
35,'No internet service','No internet service','Two year','Credit card (automatic)',No
3,'No internet service','No internet service',Month-to-month,'Mailed check',No
50,No,Yes,Month-to-month,'Electronic check',Yes
42,Yes,No,Month-to-month,'Electronic check',No
10,Yes,Yes,Month-to-month,'Credit card (automatic)',No
61,Yes,Yes,'One year','Bank transfer (automatic)',No
68,Yes,Yes,'Two year','Credit card (automatic)',No
10,Yes,No,'One year','Electronic check',No
65,Yes,No,'One year','Electronic check',Yes
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
55,No,Yes,Month-to-month,'Electronic check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
7,No,Yes,Month-to-month,'Bank transfer (automatic)',No
2,No,No,Month-to-month,'Mailed check',No
9,Yes,No,Month-to-month,'Electronic check',No
27,'No internet service','No internet service','Two year','Credit card (automatic)',No
7,No,No,Month-to-month,'Electronic check',Yes
64,No,Yes,'Two year','Mailed check',No
70,Yes,Yes,'Two year','Bank transfer (automatic)',No
2,No,No,Month-to-month,'Electronic check',Yes
67,Yes,Yes,'Two year','Electronic check',No
45,No,No,Month-to-month,'Credit card (automatic)',Yes
24,'No internet service','No internet service','Two year','Credit card (automatic)',No
4,'No internet service','No internet service','Two year','Credit card (automatic)',No
44,No,No,Month-to-month,'Bank transfer (automatic)',No
72,'No internet service','No internet service','Two year','Mailed check',No
1,No,No,Month-to-month,'Credit card (automatic)',Yes
66,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
1,No,Yes,Month-to-month,'Mailed check',Yes
13,Yes,No,Month-to-month,'Electronic check',Yes
10,No,No,Month-to-month,'Bank transfer (automatic)',Yes
65,No,No,Month-to-month,'Electronic check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
38,Yes,Yes,'One year','Electronic check',No
23,Yes,Yes,'Two year','Mailed check',No
10,'No internet service','No internet service','One year','Mailed check',No
4,No,No,Month-to-month,'Electronic check',Yes
72,Yes,Yes,'Two year','Credit card (automatic)',No
35,No,Yes,Month-to-month,'Electronic check',No
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
58,'No internet service','No internet service','Two year','Credit card (automatic)',No
70,No,Yes,'One year','Electronic check',No
38,No,No,'One year','Credit card (automatic)',No
60,No,No,Month-to-month,'Electronic check',No
26,Yes,No,Month-to-month,'Credit card (automatic)',No
8,Yes,Yes,'One year','Bank transfer (automatic)',No
41,No,Yes,'One year','Electronic check',Yes
36,No,No,Month-to-month,'Credit card (automatic)',No
54,No,Yes,'One year','Bank transfer (automatic)',No
71,No,No,'Two year','Bank transfer (automatic)',Yes
55,No,No,Month-to-month,'Electronic check',No
72,Yes,No,'Two year','Bank transfer (automatic)',No
3,Yes,Yes,Month-to-month,'Mailed check',Yes
54,No,No,'Two year','Bank transfer (automatic)',No
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
52,Yes,Yes,'Two year','Electronic check',No
60,Yes,No,'One year','Bank transfer (automatic)',No
39,No,No,Month-to-month,'Credit card (automatic)',No
15,No,No,'One year','Mailed check',No
69,No,Yes,'Two year','Bank transfer (automatic)',Yes
43,'No internet service','No internet service','One year','Mailed check',No
63,Yes,Yes,'One year','Bank transfer (automatic)',No
2,No,No,Month-to-month,'Electronic check',No
72,Yes,Yes,'Two year','Bank transfer (automatic)',No
32,No,No,Month-to-month,'Bank transfer (automatic)',Yes
40,'No internet service','No internet service','Two year','Credit card (automatic)',No
58,Yes,No,'One year','Electronic check',No
67,Yes,Yes,'Two year','Electronic check',No
51,Yes,No,Month-to-month,'Electronic check',Yes
31,No,Yes,'One year','Mailed check',No
69,Yes,No,Month-to-month,'Credit card (automatic)',No
32,No,Yes,'One year','Electronic check',No
21,Yes,Yes,'Two year','Credit card (automatic)',No
52,Yes,No,'One year','Electronic check',No
72,'No internet service','No internet service','Two year','Credit card (automatic)',No
72,No,No,'Two year','Electronic check',Yes
52,Yes,No,'One year','Bank transfer (automatic)',No
41,No,Yes,'One year','Bank transfer (automatic)',No
41,'No internet service','No internet service','Two year','Mailed check',No
6,No,No,Month-to-month,'Mailed check',Yes
67,Yes,Yes,'One year','Credit card (automatic)',No
16,'No internet service','No internet service',Month-to-month,'Mailed check',No
17,'No internet service','No internet service','Two year','Mailed check',No
35,Yes,No,Month-to-month,'Mailed check',No
58,'No internet service','No internet service','Two year','Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
52,No,Yes,'Two year','Mailed check',No
70,Yes,Yes,'Two year','Bank transfer (automatic)',No
19,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
35,Yes,Yes,Month-to-month,'Electronic check',No
32,No,No,Month-to-month,'Electronic check',No
17,Yes,Yes,Month-to-month,'Credit card (automatic)',No
67,No,No,'One year','Credit card (automatic)',No
9,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
31,No,Yes,'One year','Mailed check',Yes
4,Yes,No,Month-to-month,'Electronic check',No
58,Yes,Yes,'One year','Bank transfer (automatic)',No
60,Yes,Yes,'One year','Mailed check',No
58,No,Yes,'One year','Electronic check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
27,'No internet service','No internet service','Two year','Mailed check',No
66,Yes,Yes,'One year','Electronic check',No
15,Yes,No,Month-to-month,'Bank transfer (automatic)',No
47,No,No,Month-to-month,'Electronic check',Yes
41,Yes,No,Month-to-month,'Credit card (automatic)',No
59,No,No,Month-to-month,'Electronic check',No
50,No,No,'Two year','Credit card (automatic)',No
17,Yes,No,'One year','Credit card (automatic)',No
6,Yes,No,Month-to-month,'Electronic check',No
51,No,No,Month-to-month,'Credit card (automatic)',No
44,No,Yes,Month-to-month,'Electronic check',Yes
49,No,No,Month-to-month,'Credit card (automatic)',No
2,No,No,Month-to-month,'Electronic check',Yes
59,Yes,Yes,'One year','Mailed check',No
50,Yes,No,Month-to-month,'Bank transfer (automatic)',No
59,'No internet service','No internet service','Two year','Mailed check',No
18,No,No,Month-to-month,'Mailed check',No
10,No,No,Month-to-month,'Electronic check',No
14,No,No,'One year','Electronic check',No
35,'No internet service','No internet service','Two year','Bank transfer (automatic)',No
8,No,No,'One year','Mailed check',No
18,'No internet service','No internet service','One year','Bank transfer (automatic)',No
60,Yes,No,'One year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
6,'No internet service','No internet service','Two year','Mailed check',No
19,Yes,Yes,Month-to-month,'Mailed check',No
53,Yes,Yes,'One year','Bank transfer (automatic)',No
72,Yes,No,'Two year','Bank transfer (automatic)',No
60,No,Yes,'Two year','Credit card (automatic)',No
1,No,No,Month-to-month,'Credit card (automatic)',Yes
13,No,Yes,Month-to-month,'Mailed check',No
5,No,No,Month-to-month,'Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
13,No,No,Month-to-month,'Electronic check',No
37,Yes,Yes,'One year','Bank transfer (automatic)',No
64,Yes,No,Month-to-month,'Mailed check',No
5,No,Yes,Month-to-month,'Bank transfer (automatic)',Yes
61,No,Yes,'Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
26,'No internet service','No internet service','One year','Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
24,'No internet service','No internet service','Two year','Mailed check',No
17,No,Yes,'One year','Electronic check',No
26,No,No,Month-to-month,'Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
40,Yes,No,Month-to-month,'Electronic check',Yes
52,No,No,Month-to-month,'Electronic check',No
1,No,No,Month-to-month,'Electronic check',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',No
21,Yes,Yes,'Two year','Mailed check',No
67,No,No,'One year','Bank transfer (automatic)',No
44,Yes,Yes,Month-to-month,'Bank transfer (automatic)',No
70,No,Yes,'One year','Electronic check',No
3,No,No,Month-to-month,'Electronic check',Yes
56,Yes,No,'Two year','Bank transfer (automatic)',No
13,No,No,Month-to-month,'Electronic check',Yes
58,Yes,No,Month-to-month,'Bank transfer (automatic)',Yes
42,No,No,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Electronic check',Yes
46,Yes,Yes,'Two year','Mailed check',No
63,Yes,No,'Two year','Bank transfer (automatic)',No
11,No,Yes,Month-to-month,'Electronic check',No
15,No,Yes,Month-to-month,'Bank transfer (automatic)',No
72,Yes,Yes,'Two year','Electronic check',No
29,No,No,Month-to-month,'Credit card (automatic)',Yes
1,No,No,Month-to-month,'Electronic check',Yes
6,No,No,Month-to-month,'Electronic check',No
1,No,No,Month-to-month,'Electronic check',Yes
63,No,No,'One year','Electronic check',No
2,No,No,Month-to-month,'Electronic check',Yes
18,'No internet service','No internet service','Two year','Mailed check',No
43,Yes,Yes,Month-to-month,'Bank transfer (automatic)',No
15,Yes,Yes,'One year','Mailed check',No
10,No,No,Month-to-month,'Electronic check',Yes
55,'No internet service','No internet service','Two year','Mailed check',No
49,No,Yes,'One year','Bank transfer (automatic)',Yes
6,No,No,Month-to-month,'Mailed check',Yes
70,'No internet service','No internet service','Two year','Credit card (automatic)',No
2,No,No,Month-to-month,'Mailed check',Yes
63,Yes,Yes,'One year','Bank transfer (automatic)',No
25,No,Yes,Month-to-month,'Bank transfer (automatic)',No
18,'No internet service','No internet service','One year','Bank transfer (automatic)',No
28,No,Yes,Month-to-month,'Electronic check',No
53,Yes,Yes,'One year','Mailed check',No
35,No,No,'One year','Bank transfer (automatic)',Yes
1,No,No,Month-to-month,'Mailed check',No
70,Yes,Yes,'One year','Credit card (automatic)',Yes
2,No,Yes,Month-to-month,'Electronic check',Yes
26,No,Yes,Month-to-month,'Electronic check',No
34,Yes,No,'One year','Electronic check',No
19,'No internet service','No internet service','Two year','Mailed check',No
15,No,No,Month-to-month,'Mailed check',Yes
62,Yes,No,'One year','Credit card (automatic)',No
42,No,No,Month-to-month,'Bank transfer (automatic)',Yes
9,Yes,No,Month-to-month,'Electronic check',Yes
24,Yes,No,Month-to-month,'Electronic check',No
68,Yes,No,'Two year','Electronic check',No
31,No,Yes,Month-to-month,'Mailed check',No
1,No,No,Month-to-month,'Electronic check',Yes
21,No,Yes,Month-to-month,'Electronic check',Yes
63,No,No,'One year','Electronic check',No
2,No,No,Month-to-month,'Bank transfer (automatic)',Yes
61,No,Yes,'Two year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
18,'No internet service','No internet service','One year','Mailed check',No
6,'No internet service','No internet service','One year','Credit card (automatic)',No
33,No,No,Month-to-month,'Electronic check',No
16,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',Yes
56,No,Yes,Month-to-month,'Electronic check',No
23,'No internet service','No internet service','One year','Mailed check',No
9,No,No,Month-to-month,'Electronic check',No
14,No,No,Month-to-month,'Electronic check',Yes
15,No,No,Month-to-month,'Bank transfer (automatic)',Yes
5,'No internet service','No internet service',Month-to-month,'Credit card (automatic)',No
61,Yes,No,Month-to-month,'Electronic check',No
70,Yes,Yes,'Two year','Credit card (automatic)',No
15,Yes,No,Month-to-month,'Electronic check',No
8,'No internet service','No internet service','Two year','Mailed check',No
8,'No internet service','No internet service','Two year','Mailed check',No
4,Yes,No,Month-to-month,'Mailed check',No
34,Yes,No,'One year','Mailed check',No
68,Yes,Yes,'Two year','Credit card (automatic)',No
45,No,Yes,'One year','Bank transfer (automatic)',No
9,No,No,Month-to-month,'Electronic check',No
22,Yes,Yes,Month-to-month,'Mailed check',No
2,'No internet service','No internet service',Month-to-month,'Mailed check',No
70,No,Yes,'Two year','Bank transfer (automatic)',No
10,Yes,Yes,'One year','Credit card (automatic)',No
72,Yes,Yes,'Two year','Credit card (automatic)',No
49,No,No,'One year','Credit card (automatic)',No
54,No,Yes,'One year','Mailed check',No
71,Yes,No,'Two year','Credit card (automatic)',No
22,'No internet service','No internet service','One year','Mailed check',No
50,'No internet service','No internet service','Two year','Credit card (automatic)',No
43,'No internet service','No internet service','One year','Mailed check',No
45,'No internet service','No internet service','Two year','Credit card (automatic)',No
64,Yes,No,Month-to-month,'Bank transfer (automatic)',No
23,'No internet service','No internet service','Two year','Mailed check',No
68,'No internet service','No internet service','Two year','Credit card (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
2,No,No,Month-to-month,'Credit card (automatic)',Yes
26,No,Yes,'One year','Credit card (automatic)',No
55,No,Yes,Month-to-month,'Bank transfer (automatic)',Yes
14,'No internet service','No internet service',Month-to-month,'Electronic check',No
71,Yes,Yes,'Two year','Electronic check',No
64,Yes,Yes,'One year','Electronic check',No
7,No,Yes,Month-to-month,'Credit card (automatic)',Yes
57,Yes,Yes,'Two year','Credit card (automatic)',No
13,No,No,Month-to-month,'Electronic check',Yes
3,Yes,No,Month-to-month,'Credit card (automatic)',Yes
72,No,Yes,'Two year','Credit card (automatic)',No
40,No,No,Month-to-month,'Credit card (automatic)',No
14,No,Yes,Month-to-month,'Credit card (automatic)',No
2,No,No,Month-to-month,'Electronic check',No
66,No,Yes,'One year','Credit card (automatic)',Yes
38,No,Yes,Month-to-month,'Electronic check',Yes
1,No,No,Month-to-month,'Electronic check',Yes
22,No,Yes,'One year','Credit card (automatic)',Yes
1,'No internet service','No internet service',Month-to-month,'Mailed check',Yes
5,No,No,Month-to-month,'Mailed check',No
29,Yes,Yes,'One year','Bank transfer (automatic)',No
1,No,No,Month-to-month,'Mailed check',Yes
3,'No internet service','No internet service',Month-to-month,'Mailed check',No
71,'No internet service','No internet service','Two year','Credit card (automatic)',No
9,No,No,Month-to-month,'Electronic check',No
43,No,No,Month-to-month,'Electronic check',Yes
48,Yes,No,'One year','Credit card (automatic)',No
26,Yes,No,Month-to-month,'Credit card (automatic)',No
9,'No internet service','No internet service',Month-to-month,'Bank transfer (automatic)',No
1,No,No,Month-to-month,'Electronic check',Yes
46,'No internet service','No internet service','Two year','Credit card (automatic)',No
2,No,No,Month-to-month,'Bank transfer (automatic)',Yes
1,No,No,Month-to-month,'Electronic check',Yes
